Apple Inc.,116.28,47598100
Microsoft Corporation,55.21,34795000
HP Inc. Common Stock,11.95,29962200
Oracle Corporation ,38.7,15800500
Coca-Cola Company,42.77,15104600
General Motors ,35.73,14071300
eBay Inc.,28.97,13260200
Starbucks Corporation,61.22,8238120
International Business Machines,139.7,4540880
Amazon.com,676.01,4159120
Tesla Motors,231.99,4066490
United Parcel Service,103.3,2913920
Alphabet Inc.,762.38,2050190
FedEx Corporation ,157.87,1821290
Sony Corporation,25.4,1104750
Toyota Motor,125.74,325225
Direxion Daily,16.43,6630
